Straat;Huisnr.;Toev.;Postcode;Plaats;Makelaar;Tel makelaar;Aanmeldingsoort;Huidige prijs;Koop conditie;Prijs per m2;Transactie prijs / huur;Transactieprijs per m2;Huidige huur;Huur conditie;Vertrouwelijk;Datum aanmelding;Voorbehoud vanaf;Voorbehoud tot;Datum afmelding;Ondertekening akte;Transactiedatum;Transportdatum;Ontb. voorwaarden FIN;Waarborg;Dagen op de markt;Woonoppervlakte;Inhoud woning;Perceel oppervlak ;Overige inpandige ruimte;Externe bergruimte;Gebouwgeb. buitenruimte;Woonkamer;Bouwjaar / Periode;Aantal kamers;Aantal slaapkamers;Soort OG;Soort woning;Soort appartement;Type woning;Kwaliteit woning;Subtype woning/appartement;(Voorlopig) energielabel;Energie index;Energie einddatum;Status;Medeaanmelders;Prijs aanvaarding;Aantal prijswijzigingen;Aangemeld voor;Prijswijziging 1;Datum;Verschil;Prijswijziging 2;Datum;Verschil;Prijswijziging 3;Datum;Verschil;Prijswijziging 4;Datum;Verschil;Prijswijziging 5;Datum;Verschil
Eerste Goudsbloemdwarsstraat;2;B;1015 JW;AMSTERDAM;Your Home Makelaardij ;020-3706020;In verhuur genomen; € - ;; € - ;€ 1,230;€ 41;€ 1,230;Per maand;nee;16-7-2019;;;1-8-2019;29-7-2019;29-7-2019;12-8-2019;;;14;30;90;;;;;;;1;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;per datum;0;€ 1,230;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Marnixstraat;36;HR;1015 XK;AMSTERDAM;Expats Amsterdam ;(+31) 23 751 57 67;In verhuur genomen; € - ;; € - ;€ 1,375;€ 39;€ 1,375;Per maand;nee;26-7-2019;;;9-8-2019;9-8-2019;9-8-2019;;;;15;35;100;;;;;;;1;0;Appartement;;benedenwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,375;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Goudsbloemstraat;32;3;1015 JP;AMSTERDAM;RKZ Makelaars ;020-2600151;In verhuur genomen; € - ;; € - ;€ 1,400;€ 44;€ 1,400;Per maand;nee;20-7-2019;9-8-2019;;7-8-2019;6-8-2019;6-8-2019;10-8-2019;;;18;32;120;;;;;;;2;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;direct;0;€ 1,400;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Tweede Anjeliersdwarsstraat;;;1015 NT;AMSTERDAM;The Rental Agency Amsterdam ;06-39751462;In verhuur genomen; € - ;; € - ;€ 1,500;€ 35;€ 1,500;Per maand;nee;27-5-2019;;;3-8-2019;1-8-2019;1-8-2019;1-8-2019;;;67;43;188;;;;;;1900;3;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;1;€ 1,600;€ 1,500;29-6-2019;€ 100;  ;;  ;  ;;  ;  ;;  ;  ;;  
Nieuwe Leliestraat;17;1;1015 SH;AMSTERDAM;Bosma Makelaardij | Bosma Real Estate ;(+31) 20 890 03 32;In verhuur genomen; € - ;; € - ;€ 1,500;€ 37;€ 1,500;Per maand;nee;5-6-2019;19-7-2019;;30-7-2019;30-7-2019;30-7-2019;1-8-2019;;;56;41;115;;;;4;;1906;2;1;Appartement;;bovenwoning;;;;A;1.03;4-8-2024;Verhuurd;;direct;1;€ 1,600;€ 1,500;1-7-2019;€ 100;  ;;  ;  ;;  ;  ;;  ;  ;;  
Goudsbloemstraat;130;I;1015 JT;AMSTERDAM;Bridges Makelaardij B.V. ;020-8950695;In verhuur genomen; € - ;; € - ;€ 1,500;€ 38;€ 1,500;Per maand;nee;30-7-2019;;;9-8-2019;8-8-2019;8-8-2019;9-8-2019;;;10;40;120;;;;;;;3;2;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,500;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Driehoekstraat;56;;1015 GL;AMSTERDAM;Your Home Makelaardij ;020-3706020;In verhuur genomen; € - ;; € - ;€ 1,550;€ 24;€ 1,550;Per maand;nee;3-7-2019;25-7-2019;;1-8-2019;1-8-2019;1-8-2019;9-8-2019;;;30;65;160;;;;;;;3;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;per datum;1;€ 1,700;€ 1,550;22-7-2019;€ 150;  ;;  ;  ;;  ;  ;;  ;  ;;  
Westerkade;11;A;1015 XD;AMSTERDAM;Dutch Real Estate Company Amsterdam ;020-7723460;In verhuur genomen; € - ;; € - ;€ 1,550;€ 32;€ 1,550;Per maand;nee;17-7-2019;1-8-2019;;5-8-2019;5-8-2019;5-8-2019;16-8-2019;;;20;48;130;;;;;;1906;2;1;Appartement;;beneden + bovenwoning;;;;B;;1-4-2022;Verhuurd;;in overleg;0;€ 1,550;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Bloemgracht;158;c;1015 TT;Amsterdam;HouseHunting 't Gooi ;035 4400210;In verhuur genomen; € - ;; € - ;€ 1,625;€ 36;€ 1,625;Per maand;nee;21-5-2019;;;20-8-2019;16-7-2019;16-7-2019;18-7-2019;;;57;45;100;;2;;3;;1900;2;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,625;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Herengracht;51;;1015 BC;AMSTERDAM;Van Roijen Makelaardij o.g. b.v. ;020-6629010;In verhuur genomen; € - ;; € - ;€ 1,650;€ 27;€ 1,650;Per maand;nee;12-7-2019;;;22-7-2019;22-7-2019;22-7-2019;10-8-2019;;;11;61;150;;;;;;;3;1;Appartement;;benedenwoning;;;;B;;1-2-2026;Verhuurd;;in overleg;0;€ 1,650;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Westerstraat;198;;1015 MR;AMSTERDAM;Amsterdam Housing ;020-6717266;In verhuur genomen; € - ;; € - ;€ 1,650;€ 30;€ 1,650;Per maand;nee;15-8-2019;;;20-8-2019;20-8-2019;20-8-2019;20-8-2019;;;6;55;150;;;;;;1939;3;2;Appartement;;bovenwoning;;;;;;;Verhuurd;;direct;0;€ 1,650;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Willemsstraat;1;bg;1015 HW;Amsterdam;A Plus Apartments ;020-4422170;In verhuur genomen; € - ;; € - ;  ;  ;€ 1,750;Per maand;nee;14-2-2019;;;1-8-2019;1-8-2019;1-8-2019;;;;169;85;221;;3;6;;;1933;2;1;Appartement;;benedenwoning;;;;;;;Ingetrokken;;direct;2;€ 1,750;€ 1,800;14-2-2019;€ -50;€ 1,750;8-3-2019;€ 50;  ;;  ;  ;;  ;  ;;  
Tuinstraat;164;A;1015 PH;AMSTERDAM;Renthouse Vastgoed BV ;020-3030609;In verhuur genomen; € - ;; € - ;  ;  ;€ 1,750;Per maand;nee;7-5-2019;;;6-8-2019;6-8-2019;6-8-2019;;;;92;60;180;;;;;;;3;1;Appartement;;maisonnette;;;;;;;Ingetrokken;;in overleg;1;€ 1,900;€ 1,750;26-6-2019;€ 150;  ;;  ;  ;;  ;  ;;  ;  ;;  
Tuinstraat;;;1015 PH;AMSTERDAM;Amsterdam Housing ;020-6717266;In verhuur genomen; € - ;; € - ;€ 1,750;€ 29;€ 1,750;Per maand;nee;21-5-2019;;;13-8-2019;13-8-2019;13-8-2019;13-8-2019;;;85;60;180;;;;;;1905;2;1;Appartement;;beneden + bovenwoning;;;;;;;Verhuurd;;per datum;1;€ 1,900;€ 1,750;27-6-2019;€ 150;  ;;  ;  ;;  ;  ;;  ;  ;;  
Westerstraat;76;D;1015 ML;AMSTERDAM;Parker & Williams Real Estate Service ;020 6750202;In verhuur genomen; € - ;; € - ;€ 1,750;€ 29;€ 1,750;Per maand;nee;22-5-2019;;;31-7-2019;30-7-2019;30-7-2019;30-7-2019;;;70;60;170;;;;5;;1880;3;2;Appartement;;bovenwoning;;;;;;;Verhuurd;;per datum;0;€ 1,750;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Westerstraat;198;I;1015 MR;AMSTERDAM;Van Huis Uit Makelaars B.V. ;020-8903099;In verhuur genomen; € - ;; € - ;  ;  ;€ 1,750;Per maand;nee;3-7-2019;;;24-7-2019;24-7-2019;24-7-2019;;;;22;55;148;;;;;;1900;3;2;Appartement;;tussenverdieping;;;;;;;Ingetrokken;;direct;0;€ 1,750;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Driehoekstraat;66;;1015 GL;AMSTERDAM;Homecrew ;(+31) 6 484 90 559;In verhuur genomen; € - ;; € - ;€ 1,750;€ 27;€ 1,750;Per maand;nee;24-7-2019;;;22-8-2019;22-8-2019;22-8-2019;;;;30;66;160;;;;;;1906;3;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;per datum;0;€ 1,750;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Westerstraat;198;I;1015 MR;AMSTERDAM;Van Huis Uit Makelaars B.V. ;020-8903099;In verhuur genomen; € - ;; € - ;  ;  ;€ 1,750;Per maand;nee;25-7-2019;;;8-8-2019;8-8-2019;8-8-2019;;;;15;55;148;;;;;;1900;3;2;Appartement;;tussenverdieping;;;;;;;Ingetrokken;;in overleg;0;€ 1,750;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Palmstraat;52;;1015 HS;AMSTERDAM;Renthouse Vastgoed BV ;020-3030609;In verhuur genomen; € - ;; € - ;  ;  ;€ 1,750;Per maand;nee;30-7-2019;;;7-8-2019;7-8-2019;7-8-2019;;;;9;65;195;;;;;;;3;1;Woonhuis;eengezinswoning;;tussenwoning;luxe;Repeterend permanent;;;;Ingetrokken;;in overleg;0;€ 1,750;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Tuinstraat;164;A;1015 PH;AMSTERDAM;Renthouse Vastgoed BV ;020-3030609;In verhuur genomen; € - ;; € - ;  ;  ;€ 1,750;Per maand;nee;7-8-2019;;;15-8-2019;15-8-2019;15-8-2019;;;;9;60;180;;;;;;;3;1;Appartement;;maisonnette;;;;;;;Ingetrokken;;in overleg;0;€ 1,750;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Langestraat;4;;1015 AL;AMSTERDAM;Amsterdam Housing ;020-6717266;In verhuur genomen; € - ;; € - ;€ 1,850;€ 30;€ 1,850;Per maand;nee;18-6-2019;;;9-8-2019;9-8-2019;9-8-2019;9-8-2019;;;53;62;130;62;;;;;1005;4;2;Woonhuis;eengezinswoning;;vrijstaande woning;normaal;;;;;Verhuurd;;direct;0;€ 1,850;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Driehoekstraat;60;;1015 GL;AMSTERDAM;Jimble ;657933744;In verhuur genomen; € - ;; € - ;€ 1,850;€ 26;€ 1,850;Per maand;nee;25-6-2019;9-8-2019;;20-8-2019;20-8-2019;20-8-2019;;;;57;70;175;;;;;;;3;2;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;1;€ 2,000;€ 1,850;10-7-2019;€ 150;  ;;  ;  ;;  ;  ;;  ;  ;;  
Goudsbloemstraat;191;B;1015 JN;AMSTERDAM;Aemestelle Makelaars V.O.F. ;020-6794919;In verhuur genomen; € - ;; € - ;  ;  ;€ 1,900;Per maand;nee;14-6-2019;;;12-8-2019;12-8-2019;12-8-2019;;;;60;48;140;;;;;;;2;1;Appartement;;bovenwoning;;;;C;;17-6-2027;Ingetrokken;;in overleg;1;€ 2,100;€ 1,900;11-7-2019;€ 200;  ;;  ;  ;;  ;  ;;  ;  ;;  
Keizersgracht;48;BOV;1015 CR;AMSTERDAM;Alcoco ;020 4638790;In verhuur genomen; € - ;; € - ;  ;  ;€ 1,950;Per maand;nee;3-7-2019;;;13-8-2019;13-8-2019;13-8-2019;;;;42;85;213;;;;;;;2;1;Appartement;;tussenverdieping;;;;;;;Ingetrokken;;direct;0;€ 1,950;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Tichelstraat;3;1;1015 KR;Amsterdam;HouseHunting 't Gooi ;035 4400210;In verhuur genomen; € - ;; € - ;€ 1,950;€ 28;€ 1,950;Per maand;nee;4-7-2019;;;7-8-2019;7-8-2019;7-8-2019;25-8-2019;;;35;70;198;;;;;;1900;3;2;Appartement;;tussenverdieping;;;;;;;Verhuurd;;in overleg;0;€ 1,950;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Marnixkade;88;hs;1015 ZH;AMSTERDAM;Hoen Makelaars B.V. ;020-3054444;In verhuur genomen; € - ;; € - ;  ;  ;€ 1,975;Per maand;nee;3-7-2019;;;29-7-2019;29-7-2019;29-7-2019;;;;27;75;245;;;;;;;3;2;Appartement;;benedenwoning;;;;B;1.2;24-12-2025;Ingetrokken;;in overleg;0;€ 1,975;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Derde Leliedwarsstraat;26;;1015 TE;AMSTERDAM;Amsterdam Housing ;020-6717266;In verhuur genomen; € - ;; € - ;€ 2,000;€ 30;€ 2,000;Per maand;nee;25-7-2019;;;30-7-2019;30-7-2019;30-7-2019;30-7-2019;;;6;66;200;;;;;;1995;3;2;Appartement;;bovenwoning;;;;;;;Verhuurd;;direct;0;€ 2,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Willemsstraat;120;;1015 JE;AMSTERDAM;The Rental Agency Amsterdam ;06-39751462;In verhuur genomen; € - ;; € - ;€ 2,100;€ 24;€ 2,100;Per maand;nee;27-6-2019;;;3-8-2019;1-8-2019;1-8-2019;1-8-2019;;;36;87;230;;;;17;;;3;2;Appartement;;bovenwoning;;;;;;;Verhuurd;;direct;0;€ 2,100;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Karthuizersstraat;6;#NAME?;1015 LR;AMSTERDAM;DSTRCT Amsterdam B.V. ;020-3309454;In verhuur genomen; € - ;; € - ;€ 2,250;€ 26;€ 2,150;Per maand;nee;30-7-2019;;;7-8-2019;7-8-2019;7-8-2019;7-8-2019;;;9;86;272;;;6;11;;2002;3;2;Appartement;;bovenwoning;;;;;;;Verhuurd;;direct;0;€ 2,150;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Karthuizersstraat;6;#NAME?;1015 LR;AMSTERDAM;DSTRCT Amsterdam B.V. ;020-3309454;In verhuur genomen; € - ;; € - ;  ;  ;€ 2,200;Per maand;nee;2-7-2019;;;29-7-2019;29-7-2019;29-7-2019;;;;28;86;272;;;6;11;;2002;3;2;Appartement;;bovenwoning;;;;;;;Ingetrokken;;per datum;1;€ 2,300;€ 2,200;22-7-2019;€ 100;  ;;  ;  ;;  ;  ;;  ;  ;;  
Willemsstraat;206;;1015 JG;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 2,250;€ 23;€ 2,250;Per maand;nee;18-6-2019;;;6-8-2019;30-7-2019;30-7-2019;;;;43;96;305;;;;10;22;2010;3;2;Appartement;;bovenwoning;;;;A;1.03;15-6-2026;Verhuurd;;in overleg;0;€ 2,250;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Keizersgracht;138;-C;1015 CW;AMSTERDAM;Voogd Makelaardij o.g. ;020-5733357;In verhuur genomen; € - ;; € - ;€ 2,250;€ 30;€ 2,250;Per maand;nee;26-6-2019;;;14-8-2019;14-8-2019;14-8-2019;14-8-2019;;;50;75;203;;;;;;1730;2;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;direct;0;€ 2,250;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Lindengracht;169;A;1015 KE;AMSTERDAM;Amsterdam Housing ;020-6717266;In verhuur genomen; € - ;; € - ;  ;  ;€ 2,250;Per maand;nee;2-7-2019;;;7-8-2019;7-8-2019;7-8-2019;;;;37;68;190;;;;;;1984;2;1;Appartement;;benedenwoning;;;;;;;Ingetrokken;;per datum;0;€ 2,250;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Prinsengracht;209;C;1015 DT;AMSTERDAM;Alcoco ;020 4638790;In verhuur genomen; € - ;; € - ;€ 1;€ 0;€ 2,250;Per maand;nee;16-7-2019;;;20-8-2019;20-8-2019;20-8-2019;5-9-2019;;;36;100;250;;;;;;;3;2;Appartement;;portiekflat;;;;;;;Verhuurd;;direct;0;€ 2,250;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Singel;92;E*;1015 AD;AMSTERDAM;Makelaardij Prins van Wijngaarden ;+ 31 50 2092140;In verhuur genomen; € - ;; € - ;  ;  ;€ 2,500;Per maand;nee;5-8-2019;;;12-8-2019;12-8-2019;12-8-2019;;;;8;102;300;;;;4;;1850;2;1;Appartement;;bovenwoning;;;;G;;1-11-2028;Ingetrokken;;in overleg;0;€ 2,500;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Brouwersgracht;655;;1015 GJ;AMSTERDAM;Makelaarskantoor Babs Persoons B.V. ;020-5205888;In verhuur genomen; € - ;; € - ;€ 2,595;€ 22;€ 2,595;Per maand;nee;19-6-2019;12-7-2019;;20-8-2019;9-8-2019;9-8-2019;;;;52;120;308;;;;;;1658;3;2;Appartement;;bovenwoning;;;;;;;Verhuurd;;per datum;0;€ 2,595;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Marnixkade;37;3;1015 XR;AMSTERDAM;Parker & Williams Real Estate Service ;020 6750202;In verhuur genomen; € - ;; € - ;€ 2,750;€ 21;€ 2,750;Per maand;nee;26-7-2019;;;21-8-2019;21-8-2019;21-8-2019;27-8-2019;;;27;130;370;;;;15;;1900;4;3;Appartement;;bovenwoning;;;;;;;Verhuurd;;per datum;0;€ 2,750;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Prinsengracht;203;B hs;1015 DT;AMSTERDAM;27 Huis Makelaars BV ;020-4280721;In verhuur genomen; € - ;; € - ;€ 2,850;€ 27;€ 2,850;Per maand;nee;22-5-2019;;;1-8-2019;31-7-2019;31-7-2019;1-8-2019;;;71;105;285;;;;;;1700;4;3;Appartement;;benedenwoning;;;;;;;Verhuurd;;direct;1;€ 3,000;€ 2,850;27-6-2019;€ 150;  ;;  ;  ;;  ;  ;;  ;  ;;  
Herengracht;69;;1015 BD;AMSTERDAM;Koops Makelaardij Amstelveen ;;In verhuur genomen; € - ;; € - ;€ 2,950;€ 29;€ 2,950;Per maand;nee;28-6-2019;;;19-8-2019;19-8-2019;19-8-2019;19-8-2019;;;53;102;275;;;;;;;3;2;Appartement;;benedenwoning;;;;;;;Verhuurd;;per datum;1;€ 3,250;€ 2,950;18-7-2019;€ 300;  ;;  ;  ;;  ;  ;;  ;  ;;  
Prinsengracht;189;a;1015 DS;AMSTERDAM;Heyen b.v. Makelaars o.g. ;035-6947821;In verhuur genomen; € - ;; € - ;€ 2,950;€ 27;€ 2,950;Per maand;nee;11-7-2019;;;16-8-2019;15-8-2019;15-8-2019;15-8-2019;;;36;110;350;;;;;;1750;3;2;Appartement;;dubbel benedenhuis;;;;;;;Verhuurd;;per datum;0;€ 2,950;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Westerkade;21;F;1015 XE;AMSTERDAM;Von Poll Real Estate ;020-2159988;In verhuur genomen; € - ;; € - ;  ;  ;€ 3,000;Per maand;nee;5-2-2019;;;31-7-2019;31-7-2019;31-7-2019;;;;177;100;200;;;;;;1912;4;2;Woonhuis;woonboot;;vrijstaande woning;;;;;;Ingetrokken;;direct;2;€ 4,000;€ 3,250;4-3-2019;€ 750;€ 3,000;29-5-2019;€ 250;  ;;  ;  ;;  ;  ;;  
